date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-04-09,1.0778,0.6724,130.75,1.7162,2.0212,1.6029149315883404,121.31193171274818,1.177718214660296,76.18575923552034,64.68929348901644,0.6280153828225149,0.5332475756976055,194.45270672218916
1999-04-12,1.0867,0.6723,130.27,1.7106,2.0041,1.6163914918934998,119.87669089905219,1.1715772243657199,76.15456564947972,65.00174641983932,0.6352741728048639,0.5422384112569233,193.7676632455749
1999-04-13,1.0765,0.6671,129.66,1.692,1.9875,1.6137010942887122,120.44588945657222,1.174645390070922,76.63120567375887,65.2377358490566,0.6362293144208038,0.5416352201257861,194.36366361864788
1999-04-14,1.0787,0.6667,128.55,1.6886,1.9836,1.617969101544923,119.17122462223047,1.1747009356863674,76.12815349994078,64.8064125831821,0.638813218050456,0.5438092357330107,192.81535923203842
1999-04-15,1.0786,0.6682,128.01,1.6981,1.9963,1.6141873690511823,118.68162432783237,1.1756080325069196,75.38425298863436,64.12362871311927,0.635180495848301,0.5402995541752241,191.5743789284645
1999-04-16,1.0668,0.6633,126.16,1.6535,1.9638,1.608322026232474,118.2602174728159,1.187662534018748,76.29876020562443,64.24279458193298,0.6451768974901724,0.5432325084020776,190.20051258857228
1999-04-19,1.0636,0.6586,125.67,1.6325,1.9338,1.6149407834801095,118.15532154945467,1.184563552833078,76.9800918836141,64.98603785293206,0.6515160796324656,0.5500051711655808,190.8138475554206
1999-04-20,1.0646,0.6589,125.48,1.6374,1.9332,1.6157231749886172,117.86586511365772,1.1806522535727373,76.63368755343838,64.907924684461,0.6501771100525223,0.5506931512518105,190.43860980421914
1999-04-21,1.0586,0.6593,126.26,1.6349,1.9358,1.6056423479447899,119.2707349329303,1.1840479540033029,77.22796501315065,65.22368013224506,0.6475013762309622,0.5468540138444055,191.50614287881086
1999-04-22,1.0581,0.6585,126.95,1.6366,1.9392,1.6068337129840549,119.97920801436537,1.1848955150922644,77.5693510937309,65.4651402640264,0.6465232799706709,0.5456373762376238,192.78663629460897
1999-04-23,1.0634,0.6583,127.25,1.6257,1.9305,1.6153729302749504,119.66334399097236,1.1874884665067358,78.27397428799902,65.9155659155659,0.654118225994956,0.5508417508417508,193.30092662919643
1999-04-26,1.0614,0.6569,126.22,1.6349,1.9358,1.6157710458212815,118.91840964763522,1.1840479540033029,77.20349868493486,65.2030168405827,0.6492140192060676,0.5483004442607707,192.1449231237631
1999-04-27,1.063,0.6587,127.34,1.6429,1.9423,1.613784727493548,119.79303857008468,1.1822387242071946,77.50928236654696,65.56144776810997,0.6470265993061051,0.5472892961952325,193.32017610444817
